\U0001F600	grinning face
\U0001F601	beaming face with smiling eyes
\U0001F602	face with tears of joy
\U0001F923	rolling on the floor laughing
\U0001F603	grinning face with big eyes
\U0001F604	grinning face with smiling eyes
\U0001F605	grinning face with sweat
\U0001F606	grinning squinting face
\U0001F609	winking face
\U0001F60A	smiling face with smiling eyes
\U0001F60B	face savoring food
\U0001F60E	smiling face with sunglasses
\U0001F60D	smiling face with heart-eyes
\U0001F618	face blowing a kiss
\U0001F970	smiling face with 3 hearts
\U0001F617	kissing face
\U0001F619	kissing face with smiling eyes
\U0001F61A	kissing face with closed eyes
\U0000263A\U0000FE0F	smiling face
\U0000263A	smiling face
\U0001F642	slightly smiling face
\U0001F917	hugging face
\U0001F929	star-struck
\U0001F914	thinking face
\U0001F928	face with raised eyebrow
\U0001F610	neutral face
\U0001F611	expressionless face
\U0001F636	face without mouth
\U0001F644	face with rolling eyes
\U0001F60F	smirking face
\U0001F623	persevering face
\U0001F625	sad but relieved face
\U0001F62E	face with open mouth
\U0001F910	zipper-mouth face
\U0001F62F	hushed face
\U0001F62A	sleepy face
\U0001F62B	tired face
\U0001F634	sleeping face
\U0001F60C	relieved face
\U0001F61B	face with tongue
\U0001F61C	winking face with tongue
\U0001F61D	squinting face with tongue
\U0001F924	drooling face
\U0001F612	unamused face
\U0001F613	downcast face with sweat
\U0001F614	pensive face
\U0001F615	confused face
\U0001F643	upside-down face
\U0001F911	money-mouth face
\U0001F632	astonished face
\U00002639\U0000FE0F	frowning face
\U00002639	frowning face
\U0001F641	slightly frowning face
\U0001F616	confounded face
\U0001F61E	disappointed face
\U0001F61F	worried face
\U0001F624	face with steam from nose
\U0001F622	crying face
\U0001F62D	loudly crying face
\U0001F626	frowning face with open mouth
\U0001F627	anguished face
\U0001F628	fearful face
\U0001F629	weary face
\U0001F92F	exploding head
\U0001F62C	grimacing face
\U0001F630	anxious face with sweat
\U0001F631	face screaming in fear
\U0001F975	hot face
\U0001F976	cold face
\U0001F633	flushed face
\U0001F92A	zany face
\U0001F635	dizzy face
\U0001F621	pouting face
\U0001F620	angry face
\U0001F92C	face with symbols on mouth
\U0001F637	face with medical mask
\U0001F912	face with thermometer
\U0001F915	face with head-bandage
\U0001F922	nauseated face
\U0001F92E	face vomiting
\U0001F927	sneezing face
\U0001F607	smiling face with halo
\U0001F920	cowboy hat face
\U0001F973	partying face
\U0001F974	woozy face
\U0001F97A	pleading face
\U0001F925	lying face
\U0001F92B	shushing face
\U0001F92D	face with hand over mouth
\U0001F9D0	face with monocle
\U0001F913	nerd face
\U0001F608	smiling face with horns
\U0001F47F	angry face with horns
\U0001F921	clown face
\U0001F479	ogre
\U0001F47A	goblin
\U0001F480	skull
\U00002620\U0000FE0F	skull and crossbones
\U00002620	skull and crossbones
\U0001F47B	ghost
\U0001F47D	alien
\U0001F47E	alien monster
\U0001F916	robot face
\U0001F4A9	pile of poo
\U0001F63A	grinning cat face
\U0001F638	grinning cat face with smiling eyes
\U0001F639	cat face with tears of joy
\U0001F63B	smiling cat face with heart-eyes
\U0001F63C	cat face with wry smile
\U0001F63D	kissing cat face
\U0001F640	weary cat face
\U0001F63F	crying cat face
\U0001F63E	pouting cat face
\U0001F648	see-no-evil monkey
\U0001F649	hear-no-evil monkey
\U0001F64A	speak-no-evil monkey
\U0001F3FB	light skin tone
\U0001F3FC	medium-light skin tone
\U0001F3FD	medium skin tone
\U0001F3FE	medium-dark skin tone
\U0001F3FF	dark skin tone
\U0001F476	baby
\U0001F476\U0001F3FB	baby: light skin tone
\U0001F476\U0001F3FC	baby: medium-light skin tone
\U0001F476\U0001F3FD	baby: medium skin tone
\U0001F476\U0001F3FE	baby: medium-dark skin tone
\U0001F476\U0001F3FF	baby: dark skin tone
\U0001F9D2	child
\U0001F9D2\U0001F3FB	child: light skin tone
\U0001F9D2\U0001F3FC	child: medium-light skin tone
\U0001F9D2\U0001F3FD	child: medium skin tone
\U0001F9D2\U0001F3FE	child: medium-dark skin tone
\U0001F9D2\U0001F3FF	child: dark skin tone
\U0001F466	boy
\U0001F466\U0001F3FB	boy: light skin tone
\U0001F466\U0001F3FC	boy: medium-light skin tone
\U0001F466\U0001F3FD	boy: medium skin tone
\U0001F466\U0001F3FE	boy: medium-dark skin tone
\U0001F466\U0001F3FF	boy: dark skin tone
\U0001F467	girl
\U0001F467\U0001F3FB	girl: light skin tone
\U0001F467\U0001F3FC	girl: medium-light skin tone
\U0001F467\U0001F3FD	girl: medium skin tone
\U0001F467\U0001F3FE	girl: medium-dark skin tone
\U0001F467\U0001F3FF	girl: dark skin tone
\U0001F9D1	adult
\U0001F9D1\U0001F3FB	adult: light skin tone
\U0001F9D1\U0001F3FC	adult: medium-light skin tone
\U0001F9D1\U0001F3FD	adult: medium skin tone
\U0001F9D1\U0001F3FE	adult: medium-dark skin tone
\U0001F9D1\U0001F3FF	adult: dark skin tone
\U0001F468	man
\U0001F468\U0001F3FB	man: light skin tone
\U0001F468\U0001F3FC	man: medium-light skin tone
\U0001F468\U0001F3FD	man: medium skin tone
\U0001F468\U0001F3FE	man: medium-dark skin tone
\U0001F468\U0001F3FF	man: dark skin tone
\U0001F469	woman
\U0001F469\U0001F3FB	woman: light skin tone
\U0001F469\U0001F3FC	woman: medium-light skin tone
\U0001F469\U0001F3FD	woman: medium skin tone
\U0001F469\U0001F3FE	woman: medium-dark skin tone
\U0001F469\U0001F3FF	woman: dark skin tone
\U0001F9D3	older adult
\U0001F9D3\U0001F3FB	older adult: light skin tone
\U0001F9D3\U0001F3FC	older adult: medium-light skin tone
\U0001F9D3\U0001F3FD	older adult: medium skin tone
\U0001F9D3\U0001F3FE	older adult: medium-dark skin tone
\U0001F9D3\U0001F3FF	older adult: dark skin tone
\U0001F474	old man
\U0001F474\U0001F3FB	old man: light skin tone
\U0001F474\U0001F3FC	old man: medium-light skin tone
\U0001F474\U0001F3FD	old man: medium skin tone
\U0001F474\U0001F3FE	old man: medium-dark skin tone
\U0001F474\U0001F3FF	old man: dark skin tone
\U0001F475	old woman
\U0001F475\U0001F3FB	old woman: light skin tone
\U0001F475\U0001F3FC	old woman: medium-light skin tone
\U0001F475\U0001F3FD	old woman: medium skin tone
\U0001F475\U0001F3FE	old woman: medium-dark skin tone
\U0001F475\U0001F3FF	old woman: dark skin tone
\U0001F468\U0000200D\U00002695\U0000FE0F	man health worker
\U0001F468\U0000200D\U00002695	man health worker
\U0001F468\U0001F3FB\U0000200D\U00002695\U0000FE0F	man health worker: light skin tone
\U0001F468\U0001F3FB\U0000200D\U00002695	man health worker: light skin tone
\U0001F468\U0001F3FC\U0000200D\U00002695\U0000FE0F	man health worker: medium-light skin tone
\U0001F468\U0001F3FC\U0000200D\U00002695	man health worker: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U00002695\U0000FE0F	man health worker: medium skin tone
\U0001F468\U0001F3FD\U0000200D\U00002695	man health worker: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U00002695\U0000FE0F	man health worker: medium-dark skin tone
\U0001F468\U0001F3FE\U0000200D\U00002695	man health worker: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U00002695\U0000FE0F	man health worker: dark skin tone
\U0001F468\U0001F3FF\U0000200D\U00002695	man health worker: dark skin tone
\U0001F469\U0000200D\U00002695\U0000FE0F	woman health worker
\U0001F469\U0000200D\U00002695	woman health worker
\U0001F469\U0001F3FB\U0000200D\U00002695\U0000FE0F	woman health worker: light skin tone
\U0001F469\U0001F3FB\U0000200D\U00002695	woman health worker: light skin tone
\U0001F469\U0001F3FC\U0000200D\U00002695\U0000FE0F	woman health worker: medium-light skin tone
\U0001F469\U0001F3FC\U0000200D\U00002695	woman health worker: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U00002695\U0000FE0F	woman health worker: medium skin tone
\U0001F469\U0001F3FD\U0000200D\U00002695	woman health worker: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U00002695\U0000FE0F	woman health worker: medium-dark skin tone
\U0001F469\U0001F3FE\U0000200D\U00002695	woman health worker: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U00002695\U0000FE0F	woman health worker: dark skin tone
\U0001F469\U0001F3FF\U0000200D\U00002695	woman health worker: dark skin tone
\U0001F468\U0000200D\U0001F393	man student
\U0001F468\U0001F3FB\U0000200D\U0001F393	man student: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F393	man student: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F393	man student: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F393	man student: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F393	man student: dark skin tone
\U0001F469\U0000200D\U0001F393	woman student
\U0001F469\U0001F3FB\U0000200D\U0001F393	woman student: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F393	woman student: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F393	woman student: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F393	woman student: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F393	woman student: dark skin tone
\U0001F468\U0000200D\U0001F3EB	man teacher
\U0001F468\U0001F3FB\U0000200D\U0001F3EB	man teacher: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F3EB	man teacher: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F3EB	man teacher: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F3EB	man teacher: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F3EB	man teacher: dark skin tone
\U0001F469\U0000200D\U0001F3EB	woman teacher
\U0001F469\U0001F3FB\U0000200D\U0001F3EB	woman teacher: light skin tone
